사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201901,2호선,용답,2,0,2446,239,3160,1067,7965,1570,14989,2974,6952,1856,4703,1946,4006,2193,4392,2745,4683,3146,4069,3430,3864,4552,3990,5670,3776,6530,3892,10820,2493,8581,1667,5467,1224,6068,1071,5685,487,3965,80,1226,0,4,0,0,0,0,20190203
201901,2호선,용두(동대문구청),9,0,935,134,1579,900,4860,2348,7986,7193,3987,3407,3450,3534,3769,4120,4430,4363,4819,5099,5267,5260,5486,5287,5593,4594,5932,4900,7026,7553,3268,6085,2158,3356,1747,3254,1319,2525,418,1920,87,645,0,16,1,1,0,0,20190203
201901,2호선,을지로3가,20,1,1133,1883,2446,17469,5822,68791,10508,176943,13616,88607,18218,41437,22818,34233,24447,29370,29465,33282,33221,29613,38710,26786,43644,27132,71484,27672,152381,33144,72946,20992,48048,10484,50045,8952,38666,8209,19389,5590,3613,1671,7,78,0,0,0,0,20190203
201901,2호선,을지로4가,7,0,833,840,1536,13828,3225,22942,5851,67532,8888,43609,12444,27961,15619,26547,18835,25914,21763,25161,26007,24232,30007,21844,32886,18192,46771,16010,67611,13723,38177,8826,18234,5188,13443,4697,9927,4610,4376,3428,911,958,1,53,0,0,0,0,20190203
201901,2호선,을지로입구,60,0,3044,3128,3503,25964,8459,127983,15748,370776,20905,168061,28590,92607,41038,100103,47523,78430,63060,77579,74180,70126,89228,69194,101038,67385,142185,69532,318327,78752,163235,48268,149467,25407,128491,20392,91465,17712,41279,10668,5000,3520,14,985,0,0,0,0,20190203
201901,2호선,이대,29,4,2949,1861,6574,11971,18646,13674,28274,42796,19292,44247,15901,36385,21534,35411,31439,41113,34160,40893,32618,35838,39577,35883,49028,34114,58930,34608,51685,40463,34243,33923,27289,19341,30775,17365,22309,17610,7017,13262,953,4538,3,98,0,0,0,0,20190203
201901,2호선,잠실(송파구청),100,3,12409,5576,47262,38078,130638,91126,194415,204093,139336,190511,94884,127980,96326,135404,106983,129034,121476,137784,129402,136246,145865,141239,168082,150654,215130,175624,294737,256403,206532,194440,186737,112296,156895,104145,131499,102211,42200,62152,4969,15247,11,418,1,0,0,0,20190203
201901,2호선,잠실나루,6,2,3069,1839,12422,10501,45639,22499,62872,43182,36720,32397,28139,24738,29567,21637,29321,25633,27794,26294,29534,25430,30651,24766,33421,24130,39788,29363,39125,48008,22554,41437,16931,24798,13327,24137,8146,24751,3659,14977,582,4831,1,96,1,1,0,0,20190203
201901,2호선,잠실새내,18,0,5401,900,17709,8553,59461,17391,89078,31935,55152,36450,36176,28541,36722,30120,38576,32722,40799,38116,38031,42075,38450,43798,42318,50663,46898,65707,53611,104349,39466,86003,33428,49108,35506,42383,35716,40910,21541,22960,3985,8006,6,189,0,0,0,0,20190203
201901,2호선,종합운동장,5,0,2106,1556,7206,7838,18787,16921,29489,27597,21264,19068,14857,14369,14303,13267,14396,12977,14920,15177,18867,20835,19850,18157,16227,17280,21393,20075,22785,33505,16402,27357,10561,15186,14272,14840,14031,14876,3730,9015,431,2924,4,121,1,1,0,0,20190203
201901,2호선,충정로(경기대입구),34,2,3663,999,7384,7466,18343,17012,26840,73573,17445,36167,13612,15028,15241,12900,15192,12964,15951,15066,16380,13892,16919,14787,18745,15544,25357,18683,61947,26187,21601,20924,13041,13736,12981,13751,9367,13446,4337,8786,760,2893,2,102,0,0,0,0,20190203
201901,2호선,한양대,11,1,1295,346,2424,5635,6313,10512,10105,37533,7567,45390,6721,21452,9945,15158,12474,19319,13528,19497,14428,14448,16621,12315,23176,11629,34986,11417,31230,14267,15814,9762,12422,6592,12627,5883,10212,6006,6014,4054,1251,1491,1,24,0,0,0,0,20190203
201901,2호선,합정,148,3,9414,3792,18697,19533,48068,39503,62382,107081,42181,78641,31989,48300,34416,47371,38540,54158,43885,62007,45142,58652,49239,58478,58316,66164,79726,80894,126009,120238,81654,102741,64166,51374,77947,41311,77181,36376,40847,25198,6945,8753,12,361,0,0,0,0,20190203
201901,2호선,홍대입구,1999,25,42966,4886,40983,21293,75744,34121,97036,122529,72382,128526,65507,102686,73896,124656,85601,160811,99834,188834,106904,185683,126667,186096,152936,196176,191090,223886,233658,283946,186501,241174,180036,132395,226138,103526,251179,87344,137721,64639,17971,23195,18,2622,0,0,0,0,20190203
201901,3호선,가락시장,18,0,2557,694,7234,5053,22032,9875,28073,34602,19425,16486,16487,11823,17198,13315,17001,13966,17446,15010,17163,15834,18244,17706,19285,17995,21531,22603,34994,30417,15768,24963,12467,15030,12469,13855,9056,13624,4018,8629,507,2373,2,47,0,0,0,0,20190203
201901,3호선,경복궁(정부서울청사),85,3,2516,1485,5371,13610,15231,39928,24959,132794,23576,72560,19786,50562,25815,49166,30534,47212,39157,51291,44632,44079,52768,39622,64137,35866,76012,34206,124543,40239,51702,27837,38909,15007,41011,13182,29385,12870,11539,7946,1820,2205,2,86,0,0,0,0,20190203
201901,3호선,경찰병원,22,2,2581,302,7506,2839,23508,8157,30246,34311,17874,16814,13229,10747,12685,7982,11052,9352,12079,12029,12844,11801,12794,11143,13078,11394,16974,15479,25311,23192,10103,21505,7381,12788,6801,11315,4430,11631,1740,7620,215,2012,0,0,0,0,0,0,20190203
201901,3호선,고속터미널,137,3,6430,4413,7964,35471,28669,53869,55650,92812,65524,113812,71952,103885,87050,129568,106291,121375,117656,120403,124691,130477,141237,138920,154708,138372,177813,144557,174039,162309,154902,113050,168107,64597,115798,48805,75663,36790,27562,19900,2920,3433,0,10,0,0,0,0,20190203
201901,3호선,교대(법원.검찰청),15,0,1244,622,3407,6124,8261,19216,13086,55765,11202,39531,12677,19398,16713,14501,17800,14441,23316,14742,27501,14089,28419,12658,30481,12391,42893,15298,75838,22324,33846,14732,27455,6391,30891,5055,31171,4383,11407,2866,1868,1171,0,1,0,0,0,0,20190203
201901,3호선,구파발,112,5,9254,1300,28180,10121,91650,15431,92572,23219,45870,23683,31515,22251,28180,21384,29672,23603,29541,25045,27975,26005,29029,28516,34116,33369,36165,39843,33928,69941,21193,66774,16165,39088,15116,35168,12877,33525,3796,24079,737,8207,1,839,0,0,0,0,20190203
201901,3호선,금호,32,4,4183,481,10287,3072,27033,4493,43963,8585,27513,7623,17267,7072,15641,7359,14826,9203,14921,10738,12306,11741,11826,13928,11975,16391,13421,21434,13477,33001,8797,27314,5991,18268,5388,16557,3928,15894,1972,9648,342,2944,0,0,0,0,0,0,20190203
201901,3호선,남부터미널(예술의전당),47,1,2871,1108,8708,25144,27157,61131,49439,200519,43568,95206,45186,60187,51966,52883,53291,54185,58919,63182,58299,63845,63990,62735,71185,65070,103392,69515,181988,82392,89982,62545,61705,32427,54920,27470,46974,21325,17019,11867,1944,3335,1,1,1,0,0,0,20190203
201901,3호선,녹번,12,2,7906,1614,18687,9783,55607,7642,69612,18370,38118,10909,24717,9772,21756,9508,20893,10664,20237,13080,18250,14304,16934,16883,18960,20767,22301,26366,22539,41822,10069,46403,7407,27748,6459,26011,4517,24066,2157,15577,303,4405,0,0,0,0,0,0,20190203
201901,3호선,대청,39,1,3514,1132,9623,6247,25425,11628,34563,28654,19688,12661,15111,8317,15036,8297,14637,9842,15449,11286,14333,11560,15573,13490,19678,14350,24246,18069,30269,26637,13003,25010,10007,15799,8854,15610,5893,16774,2364,10147,426,3557,0,6,0,0,0,0,20190203
201901,3호선,대치,12,0,2554,815,12416,8142,25900,17604,29483,31110,17935,27057,14536,17316,15737,16332,20045,21682,20915,24317,18820,19914,22277,20820,23647,23955,34869,30124,33375,31198,24719,26078,15021,15745,18851,15098,36051,15420,4598,9470,783,3219,2,2,0,0,0,0,20190203
201901,3호선,도곡,35,3,1118,233,3317,4164,8325,11109,11849,24057,8297,21190,6652,9281,7613,9249,8247,8801,9384,9723,9707,8114,10650,7634,13033,7827,17969,8795,23126,11104,12085,9433,7676,5770,7225,5586,5550,5445,1811,3258,247,2007,4,390,0,0,0,0,20190203
201901,3호선,독립문,129,3,5100,720,6167,4917,16297,10057,22470,21265,16749,17240,13464,16456,13876,12390,16458,12593,16095,14341,17137,13470,18021,13654,16507,14003,16683,16410,17549,19305,8649,17203,6253,10626,5432,9655,3731,9862,1282,6304,177,2860,1,942,0,0,0,0,20190203
201901,3호선,동대입구,21,0,1620,1265,2578,7775,5340,19429,9773,60879,8389,35941,7637,26276,9733,25251,13167,19875,16080,20819,15667,18511,17292,15760,22728,13950,39464,16365,49389,20612,24685,11653,28113,6411,18535,6215,13917,5477,4933,4295,684,1364,1,120,0,0,0,0,20190203
201901,3호선,매봉,6,1,1376,589,5939,10065,15093,19643,21204,78321,14450,36744,12754,16241,13280,15129,13850,13641,15401,13088,17661,13309,19274,12900,21229,13501,32305,16497,67165,22875,28601,18179,17198,10251,18722,9279,12815,9114,4406,5709,505,1647,0,121,0,1,0,0,20190203
201901,3호선,무악재,26,5,1949,183,4579,1620,14773,3140,18568,5035,10661,3453,8055,3381,7022,3988,6824,4111,6224,4846,5368,5521,5131,6555,5493,7346,6099,9043,7121,14042,3455,14348,2457,9216,2196,8330,1626,8304,689,5473,110,1823,0,0,0,0,0,0,20190203
201901,3호선,불광,47,4,9385,1303,20668,7131,58325,10332,75161,32526,40977,33506,30158,28910,27923,26361,29730,29481,32538,36273,31170,35051,32429,36897,34831,39960,35620,46469,38972,70049,22609,63204,17165,36976,16067,32870,12349,30548,5020,19589,817,6715,0,3,1,1,0,0,20190203
